INFO:root:Query: HAO | MLSO | K-Cor between 2017-04-13T22:49:50.556306 and 2017-04-14T22:49:50.556306
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 1999-08-16T21:06:15.305305 and 1999-08-17T21:06:15.305305
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 2006-08-06T17:58:11.682175 and 2006-08-07T17:58:11.682175
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2002-05-18T01:33:03.937466 and 2002-05-19T01:33:03.937466
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1988-07-06T23:47:55.908828 and 1988-07-07T23:47:55.908828
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2013-10-27T06:34:19.230055 and 2013-10-28T06:34:19.230055
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2020-09-30T21:55:22.753044 and 2020-10-01T21:55:22.753044
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2009-10-31T19:38:49.032431 and 2009-11-01T19:38:49.032431
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2016-07-08T05:50:20.258086 and 2016-07-09T05:50:20.258086
INFO:root:Query: JSOC | SDO | HMI between 2017-12-08T04:44:27.722136 and 2017-12-09T04:44:27.722136
INFO:root:Query: KIS | ChroTel | ChroTel between 2019-01-15T07:52:44.666059 and 2019-01-16T07:52:44.666059
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2016-07-05T01:08:27.749747 and 2016-07-06T01:08:27.749747
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1976-04-30T00:01:38.178576 and 1976-05-01T00:01:38.178576
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2015-09-12T21:22:37.184995 and 2015-09-13T21:22:37.184995
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2016-06-08T12:53:09.644578 and 2016-06-09T12:53:09.644578
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1997-01-03T08:40:06.979454 and 1997-01-04T08:40:06.979454
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2004-12-07T11:49:32.161746 and 2004-12-08T11:49:32.161746
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2008-02-15T00:23:13.697421 and 2008-02-16T00:23:13.697421
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-11-26T12:41:00.992927 and 2016-11-27T12:41:00.992927
INFO:root:Query: LASP | SDO | EVE between 2020-07-02T19:44:06.581820 and 2020-07-03T19:44:06.581820
INFO:root:Query: LMSAL | IRIS | IRIS between 2019-10-16T18:03:55.609563 and 2019-10-17T18:03:55.609563
INFO:root:Query: LSSP | RHESSI | RHESSI between 2002-07-27T23:28:41.306932 and 2002-07-28T23:28:41.306932
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1997-11-08T14:50:43.700337 and 1997-11-09T14:50:43.700337
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1993-08-19T18:42:47.855321 and 1993-08-20T18:42:47.855321
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1999-04-24T00:24:14.677644 and 1999-04-25T00:24:14.677644
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1996-01-08T18:14:49.585119 and 1996-01-09T18:14:49.585119
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1922-02-18T23:04:34.971099 and 1922-02-19T23:04:34.971099
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2009-10-14T12:56:02.917123 and 2009-10-15T12:56:02.917123
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2017-11-05T18:35:48.259980 and 2017-11-06T18:35:48.259980
INFO:root:Random query failed. Trying known query: NOAA | GOES16 | SUVI between 2021-07-30T12:26:31.103199 and 2021-08-02T12:26:31.103199
INFO:root:Query: NOAA | GOES17 | SUVI between 2019-02-14T04:01:53.123790 and 2019-02-15T04:01:53.123790
INFO:root:Query: NRL | PSP | WISPR between 2021-05-05T17:15:57.283196 and 2021-05-06T17:15:57.283196
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
INFO:root:Query: NSO | Evans | spectroheliograph between 1998-05-08T02:24:05.473887 and 1998-05-09T02:24:05.473887
INFO:root:Query: NSO | GONG | Big Bear between 2016-02-11T03:51:20.557421 and 2016-02-12T03:51:20.557421
