INFO:root:Query: HAO | MLSO | K-Cor between 2015-01-19T19:35:44.856070 and 2015-01-20T19:35:44.856070
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2009-09-06T23:43:06.742591 and 2009-09-07T23:43:06.742591
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 1997-02-08T07:19:28.067811 and 1997-02-09T07:19:28.067811
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 1998-10-23T02:53:59.569270 and 1998-10-24T02:53:59.569270
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1984-03-10T06:15:34.274945 and 1984-03-11T06:15:34.274945
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2010-12-13T01:37:56.250304 and 2010-12-14T01:37:56.250304
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2021-07-19T14:04:15.501368 and 2021-07-20T14:04:15.501368
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2018-07-25T23:17:16.586495 and 2018-07-26T23:17:16.586495
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2014-01-09T15:03:11.001093 and 2014-01-10T15:03:11.001093
INFO:root:Query: JSOC | SDO | HMI between 2020-12-09T02:37:09.249567 and 2020-12-10T02:37:09.249567
INFO:root:Query: KIS | ChroTel | ChroTel between 2012-12-21T08:38:07.644897 and 2012-12-22T08:38:07.644897
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2013-01-13T15:29:00.779747 and 2013-01-14T15:29:00.779747
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1997-10-01T12:03:53.325684 and 1997-10-02T12:03:53.325684
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2015-04-26T12:02:07.958241 and 2015-04-27T12:02:07.958241
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2009-08-14T15:45:45.718049 and 2009-08-15T15:45:45.718049
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 2004-02-24T06:53:14.383404 and 2004-02-25T06:53:14.383404
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2000-05-28T19:18:58.763007 and 2000-05-29T19:18:58.763007
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2009-09-10T14:52:01.179503 and 2009-09-11T14:52:01.179503
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2017-01-23T22:51:39.197248 and 2017-01-24T22:51:39.197248
INFO:root:Query: LASP | SDO | EVE between 2017-01-11T07:44:18.983413 and 2017-01-12T07:44:18.983413
INFO:root:Query: LMSAL | IRIS | IRIS between 2019-01-31T22:36:29.460187 and 2019-02-01T22:36:29.460187
INFO:root:Query: LSSP | RHESSI | RHESSI between 2019-02-19T18:52:20.042226 and 2019-02-20T18:52:20.042226
INFO:root:Random query failed. Trying known query: LSSP | RHESSI | RHESSI between 2006-11-18T17:33:49.141076 and 2006-11-21T17:33:49.141076
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1999-04-22T20:16:30.230460 and 1999-04-23T20:16:30.230460
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1993-03-20T18:40:46.287771 and 1993-03-21T18:40:46.287771
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1994-04-23T13:39:55.992220 and 1994-04-24T13:39:55.992220
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1994-03-29T15:49:58.166617 and 1994-03-30T15:49:58.166617
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1962-04-18T05:00:51.722176 and 1962-04-19T05:00:51.722176
INFO:root:Random query failed. Trying known query: MWSPADP | MtWilson | 60-ft SHG between 1985-06-26T01:07:51.401024 and 1985-06-29T01:07:51.401024
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2020-03-31T04:16:23.515251 and 2020-04-01T04:16:23.515251
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2020-09-13T16:30:45.208606 and 2020-09-14T16:30:45.208606
INFO:root:Query: NOAA | GOES17 | SUVI between 2019-09-18T01:31:31.492501 and 2019-09-19T01:31:31.492501
INFO:root:Query: NRL | PSP | WISPR between 2020-04-28T08:10:18.838694 and 2020-04-29T08:10:18.838694
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
