INFO:root:Query: HAO | MLSO | K-Cor between 2014-12-09T08:14:21.390159 and 2014-12-10T08:14:21.390159
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 1999-11-21T05:06:28.332736 and 1999-11-22T05:06:28.332736
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 1995-05-06T20:44:21.678071 and 1995-05-07T20:44:21.678071
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2006-08-07T23:28:45.590423 and 2006-08-08T23:28:45.590423
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1986-01-02T10:18:02.521655 and 1986-01-03T10:18:02.521655
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2016-12-07T06:38:36.666289 and 2016-12-08T06:38:36.666289
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2021-10-15T14:03:06.673352 and 2021-10-16T14:03:06.673352
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2012-09-17T03:02:06.713871 and 2012-09-18T03:02:06.713871
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2013-07-15T03:36:16.276875 and 2013-07-16T03:36:16.276875
INFO:root:Query: JSOC | SDO | HMI between 2013-01-12T11:46:11.659187 and 2013-01-13T11:46:11.659187
INFO:root:Query: KIS | ChroTel | ChroTel between 2013-06-28T15:54:46.450860 and 2013-06-29T15:54:46.450860
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2011-04-16T19:41:20.224673 and 2011-04-17T19:41:20.224673
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1992-08-12T09:15:48.841828 and 1992-08-13T09:15:48.841828
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2016-06-25T00:54:07.225940 and 2016-06-26T00:54:07.225940
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2008-07-15T21:51:50.740772 and 2008-07-16T21:51:50.740772
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1995-04-04T01:32:56.181897 and 1995-04-05T01:32:56.181897
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2003-02-21T08:54:21.369898 and 2003-02-22T08:54:21.369898
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2007-01-14T04:03:06.052116 and 2007-01-15T04:03:06.052116
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-12-26T13:40:51.775485 and 2016-12-27T13:40:51.775485
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 403 Forbidden
INFO:root:Random query failed. Trying known query: LASP | MINXSS1 | X123 between 2017-01-21T08:12:08.585745 and 2017-01-24T08:12:08.585745
INFO:root:Query: LASP | SDO | EVE between 2020-09-03T10:25:39.235625 and 2020-09-04T10:25:39.235625
INFO:root:Query: LMSAL | IRIS | IRIS between 2020-03-23T10:47:47.354960 and 2020-03-24T10:47:47.354960
INFO:root:Query: LSSP | RHESSI | RHESSI between 2019-11-07T22:34:50.757557 and 2019-11-08T22:34:50.757557
INFO:root:Random query failed. Trying known query: LSSP | RHESSI | RHESSI between 2006-11-18T17:33:49.141076 and 2006-11-21T17:33:49.141076
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1998-11-02T04:17:24.484906 and 1998-11-03T04:17:24.484906
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1993-06-11T04:08:25.401986 and 1993-06-12T04:08:25.401986
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 2001-09-28T21:09:12.921922 and 2001-09-29T21:09:12.921922
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1996-02-25T13:44:21.678051 and 1996-02-26T13:44:21.678051
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1958-12-19T15:15:03.154231 and 1958-12-20T15:15:03.154231
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2016-02-26T22:49:05.520089 and 2016-02-27T22:49:05.520089
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2018-01-27T23:13:27.105162 and 2018-01-28T23:13:27.105162
INFO:root:Random query failed. Trying known query: NOAA | GOES16 | SUVI between 2021-07-30T12:26:31.103199 and 2021-08-02T12:26:31.103199
