INFO:root:Query: HAO | MLSO | K-Cor between 2017-10-08T07:31:02.156786 and 2017-10-09T07:31:02.156786
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2012-07-18T18:15:18.469625 and 2012-07-19T18:15:18.469625
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 2002-11-16T12:55:37.186379 and 2002-11-17T12:55:37.186379
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2005-12-29T01:35:00.743881 and 2005-12-30T01:35:00.743881
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1981-03-17T03:53:53.693183 and 1981-03-18T03:53:53.693183
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2019-11-16T10:30:14.729634 and 2019-11-17T10:30:14.729634
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2020-08-19T04:56:23.735221 and 2020-08-20T04:56:23.735221
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2018-11-11T06:34:37.120709 and 2018-11-12T06:34:37.120709
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2014-10-03T01:19:30.645680 and 2014-10-04T01:19:30.645680
INFO:root:Query: JSOC | SDO | HMI between 2014-11-09T12:48:02.076886 and 2014-11-10T12:48:02.076886
INFO:root:Query: KIS | ChroTel | ChroTel between 2012-08-21T02:19:19.787821 and 2012-08-22T02:19:19.787821
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2014-09-27T00:10:55.655967 and 2014-09-28T00:10:55.655967
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1974-02-09T09:49:56.176717 and 1974-02-10T09:49:56.176717
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2016-11-20T19:01:35.524853 and 2016-11-21T19:01:35.524853
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2016-09-10T01:34:47.279128 and 2016-09-11T01:34:47.279128
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1995-12-09T13:50:11.824856 and 1995-12-10T13:50:11.824856
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2004-03-18T21:51:09.396720 and 2004-03-19T21:51:09.396720
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2006-07-28T13:58:01.474224 and 2006-07-29T13:58:01.474224
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-09-29T11:52:54.344408 and 2016-09-30T11:52:54.344408
INFO:root:Query: LASP | SDO | EVE between 2012-11-13T16:12:35.850711 and 2012-11-14T16:12:35.850711
INFO:root:Query: LMSAL | IRIS | IRIS between 2016-01-31T11:46:09.330655 and 2016-02-01T11:46:09.330655
INFO:root:Query: LSSP | RHESSI | RHESSI between 2010-10-23T22:09:29.766259 and 2010-10-24T22:09:29.766259
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1996-04-25T00:06:55.204772 and 1996-04-26T00:06:55.204772
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1996-04-12T16:53:09.754867 and 1996-04-13T16:53:09.754867
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1993-07-08T22:57:59.791554 and 1993-07-09T22:57:59.791554
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1993-12-04T02:36:26.134110 and 1993-12-05T02:36:26.134110
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1921-09-27T13:23:27.584168 and 1921-09-28T13:23:27.584168
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2021-02-09T12:46:58.854115 and 2021-02-10T12:46:58.854115
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2018-04-14T17:14:57.363460 and 2018-04-15T17:14:57.363460
INFO:root:Random query failed. Trying known query: NOAA | GOES16 | SUVI between 2021-07-30T12:26:31.103199 and 2021-08-02T12:26:31.103199
INFO:root:Query: NOAA | GOES17 | SUVI between 2020-07-17T19:27:00.459988 and 2020-07-18T19:27:00.459988
INFO:root:Query: NRL | PSP | WISPR between 2020-12-30T16:39:33.199270 and 2020-12-31T16:39:33.199270
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
INFO:root:Query: NSO | Evans | spectroheliograph between 1998-10-03T23:38:59.827139 and 1998-10-04T23:38:59.827139
