INFO:root:Query: HAO | MLSO | K-Cor between 2019-02-25T07:27:31.519561 and 2019-02-26T07:27:31.519561
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2004-05-10T00:22:48.963220 and 2004-05-11T00:22:48.963220
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 2001-03-23T01:53:51.994566 and 2001-03-24T01:53:51.994566
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 1999-07-02T08:05:24.896528 and 1999-07-03T08:05:24.896528
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1980-08-18T09:40:27.736458 and 1980-08-19T09:40:27.736458
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2017-11-26T19:20:22.037529 and 2017-11-27T19:20:22.037529
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2020-12-16T18:06:10.706891 and 2020-12-17T18:06:10.706891
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2011-06-29T17:40:33.794806 and 2011-06-30T17:40:33.794806
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2010-10-02T04:33:24.386180 and 2010-10-03T04:33:24.386180
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server : ERROR:  relation "vso.aia_synoptic2" does not exist
LINE 1: SELECT count(*) FROM vso.aia_synoptic2 WHERE 1=1 AND  (date_...
                             ^

INFO:root:Random query failed. No known query for: JSOC | SDO | AIA
INFO:root:Query: JSOC | SDO | HMI between 2011-05-02T16:23:46.500523 and 2011-05-03T16:23:46.500523
INFO:root:Query: KIS | ChroTel | ChroTel between 2021-01-10T17:14:11.703971 and 2021-01-11T17:14:11.703971
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2017-03-27T13:48:14.575935 and 2017-03-28T13:48:14.575935
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1997-06-19T13:42:47.558115 and 1997-06-20T13:42:47.558115
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2018-12-31T05:16:20.911456 and 2019-01-01T05:16:20.911456
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2013-01-25T23:55:58.597488 and 2013-01-26T23:55:58.597488
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1996-09-11T03:02:07.142864 and 1996-09-12T03:02:07.142864
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2002-04-05T10:11:55.064640 and 2002-04-06T10:11:55.064640
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2006-07-22T10:29:35.081885 and 2006-07-23T10:29:35.081885
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2017-02-19T13:56:27.306968 and 2017-02-20T13:56:27.306968
INFO:root:Query: LASP | SDO | EVE between 2011-03-31T04:04:51.817827 and 2011-04-01T04:04:51.817827
INFO:root:Query: LMSAL | IRIS | IRIS between 2018-10-04T22:30:21.247118 and 2018-10-05T22:30:21.247118
INFO:root:Query: LSSP | RHESSI | RHESSI between 2014-10-23T10:26:53.517120 and 2014-10-24T10:26:53.517120
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1999-03-05T09:12:42.493065 and 1999-03-06T09:12:42.493065
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 2000-03-13T02:15:59.531361 and 2000-03-14T02:15:59.531361
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1992-03-02T18:38:03.187679 and 1992-03-03T18:38:03.187679
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1996-09-14T02:13:35.003107 and 1996-09-15T02:13:35.003107
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1958-07-31T08:17:34.772372 and 1958-08-01T08:17:34.772372
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2012-11-15T11:01:04.992823 and 2012-11-16T11:01:04.992823
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2021-09-27T05:31:47.509772 and 2021-09-28T05:31:47.509772
INFO:root:Query: NOAA | GOES17 | SUVI between 2020-07-04T08:15:59.608765 and 2020-07-05T08:15:59.608765
INFO:root:Query: NRL | PSP | WISPR between 2019-11-11T07:45:37.757040 and 2019-11-12T07:45:37.757040
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
