INFO:root:Query: HAO | MLSO | K-Cor between 2015-06-02T17:27:17.297001 and 2015-06-03T17:27:17.297001
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2004-07-10T18:22:27.736270 and 2004-07-11T18:22:27.736270
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 2008-05-13T09:37:38.717036 and 2008-05-14T09:37:38.717036
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2002-01-09T07:40:37.897081 and 2002-01-10T07:40:37.897081
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1982-04-22T15:20:36.614071 and 1982-04-23T15:20:36.614071
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2017-02-11T03:23:51.147650 and 2017-02-12T03:23:51.147650
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2020-11-13T23:01:34.270647 and 2020-11-14T23:01:34.270647
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2011-06-13T03:55:08.279937 and 2011-06-14T03:55:08.279937
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2011-05-15T20:54:37.808792 and 2011-05-16T20:54:37.808792
INFO:parfive:https://sdo7.nascom.nasa.gov/cgi-bin/drms_export.cgi?series=aia__lev1;compress=rice;record=94_1084568114-1084568390 failed to download with exception
Timeout on reading data from socket
INFO:root:Query: JSOC | SDO | HMI between 2013-01-12T14:28:11.665357 and 2013-01-13T14:28:11.665357
INFO:parfive:https://sdo7.nascom.nasa.gov/cgi-bin/drms_export.cgi?series=hmi__Ic_45s;compress=rice;record=14047880-14047919 failed to download with exception
Timeout on reading data from socket
INFO:root:Query: KIS | ChroTel | ChroTel between 2014-07-26T03:26:38.355059 and 2014-07-27T03:26:38.355059
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2021-02-26T05:21:45.021738 and 2021-02-27T05:21:45.021738
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1997-06-16T22:44:50.103383 and 1997-06-17T22:44:50.103383
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2014-01-08T08:03:49.980575 and 2014-01-09T08:03:49.980575
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2011-03-24T12:14:46.842581 and 2011-03-25T12:14:46.842581
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1990-05-26T04:21:08.912868 and 1990-05-27T04:21:08.912868
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 1998-12-22T07:09:08.830185 and 1998-12-23T07:09:08.830185
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2007-09-12T04:43:16.222869 and 2007-09-13T04:43:16.222869
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-08-30T02:56:57.220146 and 2016-08-31T02:56:57.220146
INFO:root:Query: LASP | SDO | EVE between 2018-01-03T10:03:02.907583 and 2018-01-04T10:03:02.907583
INFO:parfive:http://lasp.colorado.edu/eve/data_access/evewebdataproducts/level1/esp/2018/esp_L1_2018003_006.fit failed to download with exception
Download Failed: http://lasp.colorado.edu/eve/data_access/evewebdataproducts/level1/esp/2018/esp_L1_2018003_006.fit with error <ClientResponse(https://lasp.colorado.edu/eve/data_access/evewebdataproducts/level1/esp/2018/esp_L1_2018003_006.fit) [404 Not Found]>
<CIMultiDictProxy('Content-Type': 'text/html; charset=iso-8859-1', 'Content-Length': '196', 'Connection': 'keep-alive', 'Date': 'Thu, 04 Nov 2021 17:11:12 GMT', 'Server': 'Apache/2.4.41 (Unix) OpenSSL/1.0.2k-fips PHP/7.4.0', 'Set-Cookie': 'HttpOnly')>

INFO:root:Query: LMSAL | IRIS | IRIS between 2014-05-05T15:48:22.013832 and 2014-05-06T15:48:22.013832
INFO:parfive:https://www.lmsal.com/solarsoft/irisa/data/level2_compressed/2014/05/05/20140505_060516_3800258458/iris_l2_20140505_060516_3800258458_raster.tar.gz failed to download with exception

INFO:root:Query: LSSP | RHESSI | RHESSI between 2017-03-30T18:31:17.891294 and 2017-03-31T18:31:17.891294
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 2000-12-26T11:01:22.687536 and 2000-12-27T11:01:22.687536
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1997-12-15T10:32:41.303668 and 1997-12-16T10:32:41.303668
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 2000-06-13T00:41:53.250880 and 2000-06-14T00:41:53.250880
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1997-09-26T12:18:12.231413 and 1997-09-27T12:18:12.231413
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1948-01-26T13:10:57.056361 and 1948-01-27T13:10:57.056361
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2019-03-30T17:08:13.823841 and 2019-03-31T17:08:13.823841
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2019-11-29T02:03:44.512850 and 2019-11-30T02:03:44.512850
INFO:root:Query: NOAA | GOES17 | SUVI between 2021-02-20T22:44:01.146188 and 2021-02-21T22:44:01.146188
INFO:root:Query: NRL | PSP | WISPR between 2019-04-07T10:40:46.807183 and 2019-04-08T10:40:46.807183
INFO:root:Query: NSO | Evans | spectroheliograph between 1998-09-29T18:37:40.070430 and 1998-09-30T18:37:40.070430
INFO:root:Random query failed. Trying known query: NSO | Evans | spectroheliograph between 1996-02-26T00:23:31.454907 and 1996-02-29T00:23:31.454907
INFO:root:Query: NSO | GONG | Big Bear between 2011-11-27T07:46:10.660103 and 2011-11-28T07:46:10.660103
INFO:root:Query: NSO | GONG | Cerro Tololo between 2015-07-23T08:37:52.701084 and 2015-07-24T08:37:52.701084
INFO:root:Query: NSO | GONG | El Teide between 2017-11-30T00:50:00.410609 and 2017-12-01T00:50:00.410609
INFO:root:Query: NSO | GONG | Learmonth between 2005-04-20T11:11:09.599268 and 2005-04-21T11:11:09.599268
INFO:root:Random query failed. Trying known query: NSO | GONG | Learmonth between 2009-10-04T10:26:44.091173 and 2009-10-07T10:26:44.091173
INFO:root:Query: NSO | GONG | MERGED GONG between 2006-05-25T09:00:03.213530 and 2006-05-26T09:00:03.213530
INFO:root:Query: NSO | GONG | Mauna Loa between 2019-12-18T16:30:54.390198 and 2019-12-19T16:30:54.390198
INFO:root:Query: NSO | GONG | Udaipur between 2019-03-06T13:56:30.811189 and 2019-03-07T13:56:30.811189
INFO:root:Query: NSO | HXECLIPSE | HXECLIPSE between 1873-07-11T18:51:06.562019 and 1873-07-12T18:51:06.562019
INFO:root:Random query failed. No known query for: NSO | HXECLIPSE | HXECLIPSE
INFO:root:Query: NSO | ISOON | ISOON between 2006-08-10T09:34:26.137518 and 2006-08-11T09:34:26.137518
INFO:root:Query: NSO | IVM | IVM between 2002-03-05T12:31:10.921230 and 2002-03-06T12:31:10.921230
INFO:root:Random query failed. Trying known query: NSO | IVM | IVM between 2001-05-05T18:53:13.517481 and 2001-05-08T18:53:13.517481
INFO:root:Query: NSO | KPVT | 512-channel magnetograph between 1983-10-26T11:37:26.753252 and 1983-10-27T11:37:26.753252
INFO:root:Random query failed. Trying known query: NSO | KPVT | 512-channel magnetograph between 1984-01-15T09:04:30.088298 and 1984-01-18T09:04:30.088298
INFO:root:Query: NSO | KPVT | spectromagnetograph between 2002-05-31T20:07:35.713106 and 2002-06-01T20:07:35.713106
INFO:root:Query: NSO | McMath | solar fts spectrometer between 1994-06-13T13:15:23.674537 and 1994-06-14T13:15:23.674537
INFO:root:Random query failed. Trying known query: NSO | McMath | solar fts spectrometer between 1992-09-21T15:57:45.551974 and 1992-09-24T15:57:45.551974
INFO:root:Query: NSO | PTMC | PTMC between 1977-05-19T19:06:33.847968 and 1977-05-20T19:06:33.847968
INFO:root:Random query failed. Trying known query: NSO | PTMC | PTMC between 1997-11-26T06:01:49.439688 and 1997-11-29T06:01:49.439688
INFO:root:Query: NSO | SDO | HMI between 2015-06-01T13:26:51.873169 and 2015-06-02T13:26:51.873169
