INFO:root:Query: HAO | MLSO | K-Cor between 2014-04-11T02:34:43.861691 and 2014-04-12T02:34:43.861691
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2002-09-23T12:00:47.385057 and 2002-09-24T12:00:47.385057
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 1996-05-30T19:46:31.207988 and 1996-05-31T19:46:31.207988
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2012-02-04T05:30:37.624171 and 2012-02-05T05:30:37.624171
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1984-11-30T09:10:17.650444 and 1984-12-01T09:10:17.650444
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2016-05-22T05:32:59.986639 and 2016-05-23T05:32:59.986639
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2021-07-19T17:50:30.440150 and 2021-07-20T17:50:30.440150
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2015-08-25T10:41:40.509351 and 2015-08-26T10:41:40.509351
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2014-05-02T02:34:35.398735 and 2014-05-03T02:34:35.398735
INFO:root:Query: JSOC | SDO | HMI between 2017-07-28T08:16:21.916374 and 2017-07-29T08:16:21.916374
INFO:root:Query: KIS | ChroTel | ChroTel between 2016-10-12T21:52:12.279522 and 2016-10-13T21:52:12.279522
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2016-02-15T17:58:55.266033 and 2016-02-16T17:58:55.266033
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1986-04-05T06:19:42.293110 and 1986-04-06T06:19:42.293110
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2017-09-28T12:35:14.515853 and 2017-09-29T12:35:14.515853
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2008-08-04T13:07:25.089644 and 2008-08-05T13:07:25.089644
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1997-07-29T18:00:42.206211 and 1997-07-30T18:00:42.206211
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2004-01-26T02:19:33.492526 and 2004-01-27T02:19:33.492526
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2006-05-27T11:42:30.329875 and 2006-05-28T11:42:30.329875
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-10-14T11:29:08.963578 and 2016-10-15T11:29:08.963578
INFO:root:Query: LASP | SDO | EVE between 2015-01-16T16:20:01.003051 and 2015-01-17T16:20:01.003051
INFO:root:Query: LMSAL | IRIS | IRIS between 2017-10-20T04:37:53.347121 and 2017-10-21T04:37:53.347121
INFO:root:Query: LSSP | RHESSI | RHESSI between 2005-06-10T07:27:26.485944 and 2005-06-11T07:27:26.485944
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1997-02-10T14:25:34.349808 and 1997-02-11T14:25:34.349808
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1992-03-14T17:01:38.747373 and 1992-03-15T17:01:38.747373
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 2001-09-30T21:39:50.556288 and 2001-10-01T21:39:50.556288
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1992-12-27T02:37:41.861028 and 1992-12-28T02:37:41.861028
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1924-07-02T07:23:35.112665 and 1924-07-03T07:23:35.112665
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2018-01-17T05:36:38.967072 and 2018-01-18T05:36:38.967072
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2019-02-13T00:56:14.909683 and 2019-02-14T00:56:14.909683
INFO:root:Query: NOAA | GOES17 | SUVI between 2021-01-26T14:09:21.996659 and 2021-01-27T14:09:21.996659
INFO:root:Query: NRL | PSP | WISPR between 2020-12-30T09:39:05.702829 and 2020-12-31T09:39:05.702829
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
INFO:root:Query: NSO | Evans | spectroheliograph between 1998-05-30T10:27:28.472620 and 1998-05-31T10:27:28.472620
INFO:root:Random query failed. Trying known query: NSO | Evans | spectroheliograph between 1996-02-26T00:23:31.454907 and 1996-02-29T00:23:31.454907
