INFO:root:Query: HAO | MLSO | K-Cor between 2021-09-15T20:53:21.919293 and 2021-09-16T20:53:21.919293
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 2003-03-04T10:08:11.033137 and 2003-03-05T10:08:11.033137
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 2000-07-10T05:00:50.375746 and 2000-07-11T05:00:50.375746
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2005-12-18T10:16:45.777384 and 2005-12-19T10:16:45.777384
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1988-03-15T00:35:12.231797 and 1988-03-16T00:35:12.231797
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2016-06-03T19:47:45.277866 and 2016-06-04T19:47:45.277866
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Continuum between 2020-07-06T18:08:42.201007 and 2020-07-09T18:08:42.201007
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2021-10-20T14:46:59.884809 and 2021-10-21T14:46:59.884809
INFO:root:Random query failed. Trying known query: INAF-OACT | OACT | BE-Halpha between 2021-04-19T15:11:35.576707 and 2021-04-22T15:11:35.576707
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2011-10-28T20:44:16.141609 and 2011-10-29T20:44:16.141609
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2012-09-22T23:34:11.419089 and 2012-09-23T23:34:11.419089
INFO:root:Query: JSOC | SDO | HMI between 2015-07-01T04:26:04.363639 and 2015-07-02T04:26:04.363639
INFO:root:Query: KIS | ChroTel | ChroTel between 2019-11-02T00:57:50.955521 and 2019-11-03T00:57:50.955521
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2018-05-31T10:49:46.713376 and 2018-06-01T10:49:46.713376
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1978-12-23T00:22:25.243684 and 1978-12-24T00:22:25.243684
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2009-03-15T02:04:13.549507 and 2009-03-16T02:04:13.549507
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2021-09-07T19:15:48.222733 and 2021-09-08T19:15:48.222733
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1994-05-01T15:13:09.462013 and 1994-05-02T15:13:09.462013
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 2004-02-24T06:21:25.791752 and 2004-02-25T06:21:25.791752
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2006-12-11T03:52:00.971106 and 2006-12-12T03:52:00.971106
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-08-06T21:27:49.909512 and 2016-08-07T21:27:49.909512
INFO:root:Query: LASP | SDO | EVE between 2012-05-01T21:05:17.374723 and 2012-05-02T21:05:17.374723
INFO:root:Query: LMSAL | IRIS | IRIS between 2019-09-20T05:57:49.909816 and 2019-09-21T05:57:49.909816
INFO:root:Query: LSSP | RHESSI | RHESSI between 2003-06-03T22:25:30.015306 and 2003-06-04T22:25:30.015306
INFO:root:Skipping: MSFC | CLASP2 | SJ
INFO:root:Skipping: MSFC | CLASP2 | SP1
INFO:root:Skipping: MSFC | CLASP2 | SP2
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1994-01-12T13:28:37.956269 and 1994-01-13T13:28:37.956269
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 2000-03-21T06:36:38.164982 and 2000-03-22T06:36:38.164982
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1994-12-16T20:38:02.819086 and 1994-12-17T20:38:02.819086
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 2001-07-25T00:27:23.434530 and 2001-07-26T00:27:23.434530
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1956-03-30T01:04:39.670862 and 1956-03-31T01:04:39.670862
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2011-04-12T06:43:24.840289 and 2011-04-13T06:43:24.840289
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2017-10-03T07:45:10.010615 and 2017-10-04T07:45:10.010615
INFO:root:Random query failed. Trying known query: NOAA | GOES16 | SUVI between 2021-07-30T12:26:31.103199 and 2021-08-02T12:26:31.103199
INFO:root:Query: NOAA | GOES17 | SUVI between 2019-04-16T12:17:43.008034 and 2019-04-17T12:17:43.008034
INFO:root:Query: NRL | PSP | WISPR between 2019-10-05T00:10:17.617686 and 2019-10-06T00:10:17.617686
INFO:root:Query: NSO | Evans | spectroheliograph between 1999-02-08T10:31:25.266165 and 1999-02-09T10:31:25.266165
INFO:root:Query: NSO | GONG | Big Bear between 2014-10-18T12:46:18.108806 and 2014-10-19T12:46:18.108806
INFO:root:Query: NSO | GONG | Cerro Tololo between 2014-07-14T12:09:49.212983 and 2014-07-15T12:09:49.212983
