INFO:root:Query: HAO | MLSO | K-Cor between 2021-07-30T19:16:30.859509 and 2021-07-31T19:16:30.859509
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 503 Service Unavailable
INFO:root:Random query failed. No known query for: HAO | MLSO | K-Cor
INFO:root:Query: HAO | MLSO | chp between 1999-11-29T03:28:13.263468 and 1999-11-30T03:28:13.263468
INFO:root:Random query failed. No known query for: HAO | MLSO | chp
INFO:root:Query: HAO | MLSO | dpm between 1996-07-17T03:25:25.110679 and 1996-07-18T03:25:25.110679
INFO:root:Random query failed. No known query for: HAO | MLSO | dpm
INFO:root:Query: HAO | MLSO | mk4 between 2012-02-28T06:11:40.843264 and 2012-02-29T06:11:40.843264
INFO:root:Random query failed. No known query for: HAO | MLSO | mk4
INFO:root:Query: HAO | SMM | cp between 1985-06-20T00:50:52.584920 and 1985-06-21T00:50:52.584920
INFO:root:Random query failed. No known query for: HAO | SMM | cp
INFO:root:Query: INAF-OACT | OACT | BE-Continuum between 2013-10-22T18:15:26.956523 and 2013-10-23T18:15:26.956523
INFO:root:Query: INAF-OACT | OACT | BE-Halpha between 2021-06-06T23:38:23.711671 and 2021-06-07T23:38:23.711671
INFO:root:Query: INAF-OACT | OACT | Cooke-Refractor between 2010-08-08T23:02:13.990906 and 2010-08-09T23:02:13.990906
INFO:root:Random query failed. No known query for: INAF-OACT | OACT | Cooke-Refractor
INFO:root:Query: JSOC | SDO | AIA between 2015-03-19T12:31:57.245810 and 2015-03-20T12:31:57.245810
INFO:root:Query: JSOC | SDO | HMI between 2021-10-31T01:55:11.011711 and 2021-11-01T01:55:11.011711
WARNING:sunpy:SunpyDeprecationWarning: The default response format from the VSO client will be changing to 'table' in version 3.1. To remove this warning set response_format='legacy' to maintain the old behaviour or response_format='table' to use the new behaviour.
INFO:root:Random query failed. Trying known query: JSOC | SDO | HMI between 2014-02-26T01:06:41.956454 and 2014-03-01T01:06:41.956454
INFO:root:Query: KIS | ChroTel | ChroTel between 2018-10-15T14:24:09.608910 and 2018-10-16T14:24:09.608910
INFO:root:Random query failed. No known query for: KIS | ChroTel | ChroTel
INFO:root:Query: KSO | KSO | CAII between 2017-11-20T01:38:05.635524 and 2017-11-21T01:38:05.635524
WARNING:sunpy:SunpyUserWarning: VSO-D505 Version not supported
INFO:root:Random query failed. No known query for: KSO | KSO | CAII
INFO:root:Query: KSO | KSO | FILM between 1988-12-09T23:56:22.216270 and 1988-12-10T23:56:22.216270
INFO:root:Random query failed. No known query for: KSO | KSO | FILM
INFO:root:Query: KSO | KSO | HA2 between 2014-09-09T18:06:44.153057 and 2014-09-10T18:06:44.153057
INFO:root:Random query failed. No known query for: KSO | KSO | HA2
INFO:root:Query: KSO | KSO | KPDC between 2014-10-09T05:52:08.079904 and 2014-10-10T05:52:08.079904
INFO:root:Random query failed. No known query for: KSO | KSO | KPDC
INFO:root:Query: KSO | KSO | PHOKA between 1989-03-27T04:14:03.817305 and 1989-03-28T04:14:03.817305
INFO:root:Random query failed. No known query for: KSO | KSO | PHOKA
INFO:root:Query: KSO | KSO | TM-1001 between 1999-11-12T05:07:49.184081 and 1999-11-13T05:07:49.184081
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1001
INFO:root:Query: KSO | KSO | TM-1010 between 2010-03-27T22:30:26.788467 and 2010-03-28T22:30:26.788467
INFO:root:Random query failed. No known query for: KSO | KSO | TM-1010
INFO:root:Query: LASP | MINXSS1 | X123 between 2016-06-14T15:55:57.626370 and 2016-06-15T15:55:57.626370
INFO:root:Query: LASP | SDO | EVE between 2015-09-18T12:31:57.522830 and 2015-09-19T12:31:57.522830
INFO:root:Query: LMSAL | IRIS | IRIS between 2018-05-23T08:06:42.065606 and 2018-05-24T08:06:42.065606
INFO:root:Random query failed. Trying known query: LMSAL | IRIS | IRIS between 2017-09-14T13:12:12.228426 and 2017-09-17T13:12:12.228426
INFO:root:Query: LSSP | RHESSI | RHESSI between 2008-10-26T09:37:40.350416 and 2008-10-27T09:37:40.350416
INFO:root:Query: MSFC | CLASP2 | SJ between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP1 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | CLASP2 | SP2 between 2019-04-11T00:00:00 and 2019-04-12T00:00:00
INFO:root:Query: MSFC | HI-C | HI-C between 2012-07-11T00:00:00 and 2012-07-12T00:00:00
INFO:root:Query: MSFC | HI-C21 | HI-C21 between 2018-05-29T00:00:00 and 2018-05-30T00:00:00
INFO:root:Query: MSU | YOHKOH | BCS between 1998-01-07T00:14:10.814422 and 1998-01-08T00:14:10.814422
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 500 Internal Server Error
INFO:root:Random query failed. No known query for: MSU | YOHKOH | BCS
INFO:root:Query: MSU | YOHKOH | HXT between 1998-09-30T00:53:41.666639 and 1998-10-01T00:53:41.666639
INFO:root:Random query failed. No known query for: MSU | YOHKOH | HXT
INFO:root:Query: MSU | YOHKOH | SXT between 1992-12-29T04:42:12.272710 and 1992-12-30T04:42:12.272710
INFO:root:Random query failed. No known query for: MSU | YOHKOH | SXT
INFO:root:Query: MSU | YOHKOH | WBS between 1993-08-27T08:50:18.354078 and 1993-08-28T08:50:18.354078
INFO:root:Random query failed. No known query for: MSU | YOHKOH | WBS
INFO:root:Query: MWSPADP | MtWilson | 60-ft SHG between 1943-12-12T05:54:57.722248 and 1943-12-13T05:54:57.722248
INFO:root:Random query failed. Trying known query: MWSPADP | MtWilson | 60-ft SHG between 1985-06-26T01:07:51.401024 and 1985-06-29T01:07:51.401024
INFO:root:Query: NGDC | GOES-12 | SXI-0 between 2011-10-21T21:03:35.825586 and 2011-10-22T21:03:35.825586
WARNING:sunpy:SunpyUserWarning: VSO-D503 Unavailable - Not able to access NGDC at this time.  We are working on a solution
INFO:root:Random query failed. No known query for: NGDC | GOES-12 | SXI-0
INFO:root:Query: NOAA | GOES16 | SUVI between 2017-09-01T16:54:08.414804 and 2017-09-02T16:54:08.414804
INFO:root:Query: NOAA | GOES17 | SUVI between 2021-07-04T09:26:29.380127 and 2021-07-05T09:26:29.380127
INFO:root:Query: NRL | PSP | WISPR between 2021-08-04T11:06:32.907974 and 2021-08-05T11:06:32.907974
INFO:root:Random query failed. Trying known query: NRL | PSP | WISPR between 2019-12-19T06:03:51.115948 and 2019-12-22T06:03:51.115948
INFO:root:Query: NSO | Evans | spectroheliograph between 1998-10-20T18:57:06.395597 and 1998-10-21T18:57:06.395597
